FID,PathDesign,PathDescription,RouteID,RouteDescription,Statement,geom
activetravel_routesection_approvedroutes.2,tf_segregated,Segregated footpath/cycle track (alongside road),,,,"MULTILINESTRING ((333886.8753072438 350498.0800123402, 333890.7747659803 350506.9963158775, 333938.2937465288 350549.2182986863, 333971.1073620786 350581.41706525715, 334030.597938958 350644.28440480615))"
activetravel_routesection_approvedroutes.14,tf_footway,Footway (alongside road),CCC-CAR04-FW,Cardigan:CCC-CAR04-FW - Priory Street (from jcn of Feidr Fair to jcn with High St).,,"MULTILINESTRING ((217785.05003738403 246161.90542793274, 217790.05003738403 246160.17442893982, 217810.05003356934 246153.25143051147, 217837.05002593994 246143.90543174744, 217850.05002212524 246138.90543365479, 217885.05001068115 246126.90543746948, 217904.0240058899 246119.0924396515, 217919.05000305176 246112.90544128418, 217927.05000305176 246107.90544128418, 217930.04999923706 246105.90544319153, 217932.04999923706 246105.90544319153, 217937.04999923706 246104.90544319153, 217958.04999160767 246094.90544509888, 217972.04998779297 246087.90544700623, 217980.04998779297 246083.90544891357, 217986.04998397827 246081.90544891357, 217996.04998397827 246079.90544891357))"
activetravel_routesection_approvedroutes.26,tf_foot,Footpath (away from road),CCC-CAR16-FW,Cardigan:CCC-CAR16-FW - Castle St bridge,,"MULTILINESTRING ((217765.76604388448 245852.96651124267, 217772.81304202683 245783.49953006278))"
activetravel_routesection_approvedroutes.93,tf_shared_away,Shared use footpath/cycle track (away from road),NP-CRL-C002,Caerleon:NP-CRL-C002 - Pillmawr to St Cadoc's Hospital,,"MULTILINESTRING ((332565.7000857376 190622.78149160795, 332580.1300818268 190627.09249044204, 332606.1860747655 190635.34048821306, 332625.3060695839 190642.74448621063, 332668.0450580011 190655.39748278767, 332689.04005231167 190665.52048004535, 332743.7760374779 190684.1714749998, 332752.11803521705 190686.98347424192, 332756.8040339474 190690.45147330273, 332762.4280324241 190698.13647121965, 332764.1650319543 190704.65946945257))"
activetravel_routesection_approvedroutes.114,tf_footway,Footway (alongside road),NP-NEW-P0070,Newport:NP-NEW-P0070 - Pill - City centre link via Commercial Road,,"MULTILINESTRING ((331596.928347826 186983.33947777748, 331598.9493472576 186979.21147871017, 331585.926350832 186973.75048017502))"
activetravel_routesection_approvedroutes.121,tf_shared,Shared use footpath/cycle track (alongside road),NP-HUB-C004,Newport:NP-HUB-C004 - South East River Usk link,,"MULTILINESTRING ((332958.01897888875 187106.9214444079, 332959.0189786173 187103.92144522088, 332964.0189772603 187091.9214484726, 332967.0189764458 187082.92145091505, 332973.0189748163 187060.92145687604, 332977.8539735029 187041.582462114, 332981.0189726432 187028.92146554874, 332982.46897224744 187010.6464704991, 332987.4689708897 186993.84647505358, 332989.49797033623 186970.04948150495))"
activetravel_routesection_approvedroutes.145,or_cycle_nonseg,"Cycle route (on road, not segregated)",NP-ROG-C002,Newport:NP-ROG-C002 - Tregwilym Industrial Estate to Bassleg Comprehensive School,,"MULTILINESTRING ((327822.98082159844 187039.63624063059, 327811.76143188507 187113.2208631076))"
activetravel_routesection_approvedroutes.146,tf_shared,Shared use footpath/cycle track (alongside road),NP-ROG-C002,Newport:NP-ROG-C002 - Tregwilym Industrial Estate to Bassleg Comprehensive School,,"MULTILINESTRING ((327812.3043109637 187112.69283093134, 327809.1228546959 187124.23389611416, 327807.2258624504 187147.6230506751, 327805.742929933 187173.9727830983, 327794.21192613675 187225.68162466795, 327771.548225528 187226.74679467932))"
activetravel_routesection_approvedroutes.147,tf_shared,Shared use footpath/cycle track (alongside road),NP-ROG-C002,Newport:NP-ROG-C002 - Tregwilym Industrial Estate to Bassleg Comprehensive School,,"MULTILINESTRING ((327586.3264350891 187335.74438095093, 327592.56143188477 187332.79738235474, 327614.2134284973 187320.23838615417, 327622.4714241028 187315.62938690186, 327626.7684249878 187310.80438804626, 327630.5474243164 187307.89238929749, 327635.0124206543 187305.24338912964, 327643.5594177246 187301.71839141846, 327651.9454154968 187296.56239128113, 327664.48541259766 187286.0403957367, 327672.5944099426 187280.61639595032, 327678.01641082764 187278.08939743042, 327685.4834098816 187275.3963985443, 327703.6184043884 187264.9304008484, 327770.44038391113 187223.8274116516, 327772.24938583374 187226.35941123962))"
activetravel_routesection_approvedroutes.183,tf_segregated,Segregated footpath/cycle track (alongside road),VALE-RH-C0030,Rhoose:VALE-RH-C0030 - B4265 (Pentir-Y-De) to Rhoose Railway Station,,"MULTILINESTRING ((306501.9311458397 166015.08015594166, 306520.3421408557 166047.53814714513, 306529.64113833837 166063.53714281216))"
activetravel_routesection_approvedroutes.189,tf_foot,Footpath (away from road),VALE-RH-P0010,Rhoose:VALE-RH-P0010 - Rhoose Railway Station to Mayflower Way,,"MULTILINESTRING ((306094.3792562485 166564.73100709915, 306098.24425530434 166561.8330078125, 306101.10625457764 166558.72700834274, 306106.4132530689 166547.8040113449))"
activetravel_routesection_approvedroutes.203,tf_foot,Footpath (away from road),VALE-LM-P0020,Llantwit Major:VALE-LM-P0020 - Groswen Farm to Llantwit Magor Railway Station via St Illtyd's School,,"MULTILINESTRING ((296998.7537212372 168931.68836402893, 297004.03471946716 168926.13536643982, 297002.33971977234 168924.79636573792, 297023.3007144928 168900.7963733673, 297037.7367095947 168886.69637680054, 297039.80670928955 168888.6693763733, 297065.6477031708 168863.21338272095, 297069.6897010803 168867.01538085938, 297075.70470046997 168861.2883834839, 297077.62969970703 168863.55038261414, 297072.5767002106 168868.12138175964))"
activetravel_routesection_approvedroutes.235,tf_foot,Footpath (away from road),VALE-LM-P0110,"Llantwit Major:VALE-LM-P0110 - Eagle Road, B4265 crossing, Harding Close, Boverton Court",,"MULTILINESTRING ((297917.95647171745 168583.32745864132, 297918.42847158795 168571.62146181375, 297917.77347176464 168566.4864632057, 297914.6934725978 168559.01646522712, 297911.08847357356 168553.13046682207))"
activetravel_routesection_approvedroutes.320,ped_zone,Pedestrian zone,VALE-BA-P0040,Barry:VALE-BA-P0040 - Barry Dock Station - King Square & Library,,"MULTILINESTRING ((312078.85255225387 168221.2137857424, 312002.93030441436 168233.69285586313, 311966.6291374435 168271.17282891256, 311966.46836394223 168283.45969709725))"
activetravel_routesection_approvedroutes.331,tf_footway,Footway (alongside road),VALE-PEN-POO10,Penarth:VALE-PEN-POO10 - Town Centre to Cornswell Road,,"MULTILINESTRING ((317601.0986617265 171410.29935035808, 317503.31238516804 171360.17638078373, 317502.9153749577 171358.69480634824))"
